,emin,de,sens,emax,en
312,3045.25,10.0,5.35675744977e-11,3055.25,3050.24590197
313,3055.25,10.0,5.41770191123e-11,3065.25,3060.24591536
314,3065.25,10.0,5.34121790301e-11,3075.25,3070.24592867
315,3075.25,10.0,5.35958290252e-11,3085.25,3080.24594189
316,3085.25,10.0,5.40879075224e-11,3095.25,3090.24595502
317,3095.25,10.0,5.56883859716e-11,3105.25,3100.24596806
318,3105.25,10.0,5.42708034478e-11,3115.25,3110.24598103
319,3115.25,10.0,5.40668057656e-11,3125.25,3120.24599391
320,3125.25,10.0,5.4416819257e-11,3135.25,3130.24600671
321,3135.25,10.0,5.33314506094e-11,3145.25,3140.24601942
322,3145.25,10.0,5.36373719133e-11,3155.25,3150.24603206
323,3155.25,10.0,5.33305746975e-11,3165.25,3160.24604461
324,3165.25,10.0,5.35780330695e-11,3175.25,3170.24605709
325,3175.25,10.0,5.30946216223e-11,3185.25,3180.24606949
326,3185.25,10.0,5.31123476296e-11,3195.25,3190.24608181
327,3195.25,10.0,5.45026858954e-11,3205.25,3200.24609405
328,3205.25,10.0,5.40135301502e-11,3215.25,3210.24610622
329,3215.25,10.0,5.42032315406e-11,3225.25,3220.24611831
330,3225.25,10.0,5.66721937648e-11,3235.25,3230.24613033
331,3235.25,10.0,5.77900759249e-11,3245.25,3240.24614227
332,3245.25,10.0,5.39527712219e-11,3255.25,3250.24615414
333,3255.25,10.0,5.36346073072e-11,3265.25,3260.24616594
334,3265.25,10.0,5.39892760142e-11,3275.25,3270.24617766
335,3275.25,10.0,5.35400545338e-11,3285.25,3280.24618931
336,3285.25,10.0,5.37483303291e-11,3295.25,3290.24620089
337,3295.25,10.0,5.34328440921e-11,3305.25,3300.24621241
338,3305.25,10.0,5.28513258831e-11,3315.25,3310.24622385
339,3315.25,10.0,5.37593208507e-11,3325.25,3320.24623522
340,3325.25,10.0,5.42649941291e-11,3335.25,3330.24624653
341,3335.25,10.0,5.50824433922e-11,3345.25,3340.24625776
342,3345.25,10.0,5.38222658383e-11,3355.25,3350.24626893
343,3355.25,10.0,5.49154997104e-11,3365.25,3360.24628004
344,3365.25,10.0,5.49476486725e-11,3375.25,3370.24629107
345,3375.25,10.0,5.75553619405e-11,3385.25,3380.24630205
346,3385.25,10.0,5.73086726489e-11,3395.25,3390.24631295
347,3395.25,10.0,5.42109478726e-11,3405.25,3400.2463238
348,3405.25,10.0,5.60438382549e-11,3415.25,3410.24633458
349,3415.25,10.0,5.49600296869e-11,3425.25,3420.24634529
350,3425.25,10.0,5.5653505312e-11,3435.25,3430.24635595
351,3435.25,10.0,5.54528190711e-11,3445.25,3440.24636654
352,3445.25,10.0,5.598108821e-11,3455.25,3450.24637707
353,3455.25,10.0,5.60825904791e-11,3465.25,3460.24638754
354,3465.25,10.0,5.49564304731e-11,3475.25,3470.24639795
355,3475.25,10.0,5.43874558083e-11,3485.25,3480.2464083
356,3485.25,10.0,5.43157396305e-11,3495.25,3490.24641859
357,3495.25,10.0,5.42836734428e-11,3505.25,3500.24642882
358,3505.25,10.0,5.32772855189e-11,3515.25,3510.246439
359,3515.25,10.0,5.41922847336e-11,3525.25,3520.24644911
360,3525.25,10.0,5.3179749885e-11,3535.25,3530.24645917
361,3535.25,10.0,5.37888656376e-11,3545.25,3540.24646917
362,3545.25,10.0,5.35052690738e-11,3555.25,3550.24647912
363,3555.25,10.0,5.50258005061e-11,3565.25,3560.24648901
364,3565.25,10.0,5.42908917051e-11,3575.25,3570.24649884
365,3575.25,10.0,5.40901863398e-11,3585.25,3580.24650862
366,3585.25,10.0,5.49467203326e-11,3595.25,3590.24651835
367,3595.25,10.0,5.43731830001e-11,3605.25,3600.24652802
368,3605.25,10.0,5.41203494496e-11,3615.25,3610.24653763
369,3615.25,10.0,5.35858770704e-11,3625.25,3620.2465472
370,3625.25,10.0,5.28373938211e-11,3635.25,3630.24655671
371,3635.25,10.0,5.44595462572e-11,3645.25,3640.24656617
372,3645.25,10.0,5.44819227001e-11,3655.25,3650.24657558
373,3655.25,10.0,5.35168411606e-11,3665.25,3660.24658493
374,3665.25,10.0,5.39785478126e-11,3675.25,3670.24659424
375,3675.25,10.0,5.41680237534e-11,3685.25,3680.24660349
376,3685.25,10.0,5.43238820898e-11,3695.25,3690.24661269
377,3695.25,10.0,5.35458006914e-11,3705.25,3700.24662185
378,3705.25,10.0,5.42979999347e-11,3715.25,3710.24663095
379,3715.25,10.0,5.39094748289e-11,3725.25,3720.24664001
380,3725.25,10.0,5.41620083548e-11,3735.25,3730.24664902
381,3735.25,10.0,5.31450117987e-11,3745.25,3740.24665798
382,3745.25,10.0,5.38922077021e-11,3755.25,3750.24666689
383,3755.25,10.0,5.34834022035e-11,3765.25,3760.24667575
384,3765.25,10.0,5.30276884844e-11,3775.25,3770.24668457
385,3775.25,10.0,5.53632740202e-11,3785.25,3780.24669334
386,3785.25,10.0,6.29285310341e-11,3795.25,3790.24670206
387,3795.25,10.0,6.99407098085e-11,3805.25,3800.24671074
388,3805.25,10.0,5.44710376802e-11,3815.25,3810.24671937
389,3815.25,10.0,5.33600785513e-11,3825.25,3820.24672796
390,3825.25,10.0,5.40150834556e-11,3835.25,3830.2467365
391,3835.25,10.0,5.29158524802e-11,3845.25,3840.246745
392,3845.25,10.0,5.5217773278e-11,3855.25,3850.24675346
393,3855.25,10.0,5.47168121789e-11,3865.25,3860.24676187
394,3865.25,10.0,5.4868679472e-11,3875.25,3870.24677023
395,3875.25,10.0,5.37294415103e-11,3885.25,3880.24677856
396,3885.25,10.0,5.38771085948e-11,3895.25,3890.24678684
397,3895.25,10.0,5.35064986578e-11,3905.25,3900.24679508
398,3905.25,10.0,5.38901087908e-11,3915.25,3910.24680327
399,3915.25,10.0,5.39001517753e-11,3925.25,3920.24681143
400,3925.25,10.0,5.31753349656e-11,3935.25,3930.24681954
401,3935.25,10.0,5.41194064434e-11,3945.25,3940.24682761
402,3945.25,10.0,5.45703533841e-11,3955.25,3950.24683564
403,3955.25,10.0,5.54835748275e-11,3965.25,3960.24684363
404,3965.25,10.0,5.52270554421e-11,3975.25,3970.24685158
405,3975.25,10.0,5.43224700285e-11,3985.25,3980.24685949
406,3985.25,10.0,5.45795103526e-11,3995.25,3990.24686736
407,3995.25,10.0,5.33891517085e-11,4005.25,4000.24687519
408,4005.25,10.0,5.53383236089e-11,4015.25,4010.24688299
409,4015.25,10.0,5.53265812976e-11,4025.25,4020.24689074
410,4025.25,10.0,5.48387697408e-11,4035.25,4030.24689845
411,4035.25,10.0,5.48155954716e-11,4045.25,4040.24690613
412,4045.25,10.0,5.46699933153e-11,4055.25,4050.24691377
413,4055.25,10.0,5.51419503735e-11,4065.25,4060.24692137
414,4065.25,10.0,5.4149862606e-11,4075.25,4070.24692893
415,4075.25,10.0,5.78475958785e-11,4085.25,4080.24693646
416,4085.25,10.0,6.18536551507e-11,4095.25,4090.24694395
417,4095.25,10.0,5.85603363035e-11,4105.25,4100.2469514
418,4105.25,10.0,5.54679877852e-11,4115.25,4110.24695882
419,4115.25,10.0,6.58790268778e-11,4125.25,4120.2469662
420,4125.25,10.0,5.71162373192e-11,4135.25,4130.24697355
421,4135.25,10.0,5.49145378491e-11,4145.25,4140.24698086
422,4145.25,10.0,5.55030606544e-11,4155.25,4150.24698813
423,4155.25,10.0,5.7395743437e-11,4165.25,4160.24699537
424,4165.25,10.0,5.66056801536e-11,4175.25,4170.24700258
425,4175.25,10.0,5.50885487812e-11,4185.25,4180.24700975
426,4185.25,10.0,5.70864750422e-11,4195.25,4190.24701688
427,4195.25,10.0,5.67787560235e-11,4205.25,4200.24702399
428,4205.25,10.0,5.71478878626e-11,4215.25,4210.24703105
429,4215.25,10.0,5.76993414168e-11,4225.25,4220.24703809
430,4225.25,10.0,5.70317670849e-11,4235.25,4230.24704509
